produkt,ek,ek_basis,zuschlag_%
Amber,1.75,1.70,3
Bschorle,1.33,1.29,3
Lager 3dl,1.14,1.01,13
Lager 5dl,1.90,1.68,13
Lager Alkoholfrei 3dl,1.11,0.98,13
Lager Alkoholfrei 5dl,1.85,1.64,13
Picon,0.44,0.43,3
Mineral 1l,1.71,1.58,8
Mineral 3dl,0.51,0.47,8
Mineral 5dl,0.85,0.79,8
Berliner Luft,0.44,0.43,3
Tequila,0.67,0.65,3
Vodka,0.63,0.61,3
Citro,0.43,0.40,8
El Tony Mate,1.60,1.55,3
El Tony Mate Zero,1.60,1.55,3
Global Cola,1.19,1.16,3
Goba Cola Zero,1.19,1.16,3
Tonic Water 3dl,0.94,0.87,8
Weisswein,0.74,0.67,10
Rotwein,0.29,0.26,10
Prosecco,1.21,1.10,10
Aperol Spritz,1.56,1.44,8
Gin Tonic,1.98,1.83,8
Vodka Mate,2.12,1.96,8
Vodka Soda,1.70,1.57,8
Gespritzter Weisser,1.32,1.20,10
Tinto de Verano,0.65,0.59,10
Whiskey Sour,2.75,2.55,8
Gin Sour,2.30,2.13,8
Vodka Sour,2.16,2.00,8
Amaretto Sour,1.91,1.77,8
Aperol Sour,1.24,1.15,8
